Date,Time,Bio_Rep,Chlorophyll-A (RFU),Treatment,Round
8-13-24,T0,1,108.14,Replete,1
8-13-24,T0,2,267.86,Replete,1
8-13-24,T0,3,78.82,Replete,1
8-13-24,T0,1,89.18,-Cobalamin,1
8-13-24,T0,2,182.88,-Cobalamin,1
8-13-24,T0,3,112.12,-Cobalamin,1
8-15-24,T1,1,176.77,Replete,1
8-15-24,T1,2,244.46,Replete,1
8-15-24,T1,3,119.61,Replete,1
8-15-24,T1,1,186.01,-Cobalamin,1
8-15-24,T1,2,85.06,-Cobalamin,1
8-15-24,T1,3,122.15,-Cobalamin,1
8-17-24,T2,1,124.79,Replete,1
8-17-24,T2,2,417.86,Replete,1
8-17-24,T2,3,178.44,Replete,1
8-17-24,T2,1,465.68,-Cobalamin,1
8-17-24,T2,2,245.95,-Cobalamin,1
8-17-24,T2,3,134.31,-Cobalamin,1
8-19-24,T3,1,520.81,Replete,1
8-19-24,T3,2,235.69,Replete,1
8-19-24,T3,3,664.01,Replete,1
8-19-24,T3,1,443.82,-Cobalamin,1
8-19-24,T3,2,146.23,-Cobalamin,1
8-19-24,T3,3,192.02,-Cobalamin,1
8-21-24,T4,1,1045.33,Replete,1
8-21-24,T4,2,534.18,Replete,1
8-21-24,T4,3,815.43,Replete,1
8-21-24,T4,1,734.83,-Cobalamin,1
8-21-24,T4,2,438.64,-Cobalamin,1
8-21-24,T4,3,906.65,-Cobalamin,1
8-23-24,T5,1,1200.12,Replete,1
8-23-24,T5,2,1594.96,Replete,1
8-23-24,T5,3,1552.86,Replete,1
8-23-24,T5,1,662.77,-Cobalamin,1
8-23-24,T5,2,673.84,-Cobalamin,1
8-23-24,T5,3,981.73,-Cobalamin,1
8-26-24,T6,1,3088.36,Replete,1
8-26-24,T6,2,3268.08,Replete,1
8-26-24,T6,3,2594.64,Replete,1
8-26-24,T6,1,892.93,-Cobalamin,1
8-26-24,T6,2,586.41,-Cobalamin,1
8-26-24,T6,3,601.66,-Cobalamin,1
8-27-24,T7,1,2253.2,Replete,1
8-27-24,T7,2,3096.12,Replete,1
8-27-24,T7,3,3280.53,Replete,1
8-27-24,T7,1,771.73,-Cobalamin,1
8-27-24,T7,2,666.43,-Cobalamin,1
8-27-24,T7,3,639.46,-Cobalamin,1
8-29-24,T8,1,3154.37,Replete,1
8-29-24,T8,2,3495.37,Replete,1
8-29-24,T8,3,2787.96,Replete,1
8-29-24,T8,1,816,-Cobalamin,1
8-29-24,T8,2,657.11,-Cobalamin,1
8-29-24,T8,3,630.9,-Cobalamin,1
8-31-24,T9,1,331.83,Replete,1
8-31-24,T9,2,3241.78,Replete,1
8-31-24,T9,3,2226.19,Replete,1
8-31-24,T9,1,517.35,-Cobalamin,1
8-31-24,T9,2,341.74,-Cobalamin,1
8-31-24,T9,3,648.88,-Cobalamin,1
9-2-24,T10,1,1856.23,Replete,1
9-2-24,T10,2,2636.5,Replete,1
9-2-24,T10,3,2330.07,Replete,1
9-2-24,T10,1,599.37,-Cobalamin,1
9-2-24,T10,2,353.89,-Cobalamin,1
9-2-24,T10,3,449.07,-Cobalamin,1
9-3-24,T0,1,102.18,Replete,2
9-3-24,T0,2,136.46,Replete,2
9-3-24,T0,3,105.76,Replete,2
9-3-24,T0,1,107.43,-Cobalamin,2
9-3-24,T0,2,145.64,-Cobalamin,2
9-3-24,T0,3,130.09,-Cobalamin,2
9-5-24,T1,1,131.15,Replete,2
9-5-24,T1,2,191.59,Replete,2
9-5-24,T1,3,121.81,Replete,2
9-5-24,T1,1,193.16,-Cobalamin,2
9-5-24,T1,2,126.2,-Cobalamin,2
9-5-24,T1,3,140.82,-Cobalamin,2
9-7-24,T2,1,107.63,Replete,2
9-7-24,T2,2,240.35,Replete,2
9-7-24,T2,3,255.73,Replete,2
9-7-24,T2,1,199.47,-Cobalamin,2
9-7-24,T2,2,413.52,-Cobalamin,2
9-7-24,T2,3,194.4,-Cobalamin,2
9-9-24,T3,1,226.54,Replete,2
9-9-24,T3,2,417.96,Replete,2
9-9-24,T3,3,328.7,Replete,2
9-9-24,T3,1,194.54,-Cobalamin,2
9-9-24,T3,2,357.52,-Cobalamin,2
9-9-24,T3,3,182.49,-Cobalamin,2
9-11-24,T4,1,449.74,Replete,2
9-11-24,T4,2,319.46,Replete,2
9-11-24,T4,3,240.51,Replete,2
9-11-24,T4,1,502.5,-Cobalamin,2
9-11-24,T4,2,415.88,-Cobalamin,2
9-11-24,T4,3,457.75,-Cobalamin,2
9-13-24,T5,1,977.91,Replete,2
9-13-24,T5,2,917.82,Replete,2
9-13-24,T5,3,954.94,Replete,2
9-13-24,T5,1,903.55,-Cobalamin,2
9-13-24,T5,2,1125.95,-Cobalamin,2
9-13-24,T5,3,1140.15,-Cobalamin,2
9-15-24,T6,1,837.26,Replete,2
9-15-24,T6,2,797.64,Replete,2
9-15-24,T6,3,902.87,Replete,2
9-15-24,T6,1,746.43,-Cobalamin,2
9-15-24,T6,2,792.19,-Cobalamin,2
9-15-24,T6,3,854.52,-Cobalamin,2
9-17-24,T7,1,1263.34,Replete,2
9-17-24,T7,2,1384.1,Replete,2
9-17-24,T7,3,1880.56,Replete,2
9-17-24,T7,1,674.23,-Cobalamin,2
9-17-24,T7,2,845.31,-Cobalamin,2
9-17-24,T7,3,441.49,-Cobalamin,2